months_of_year,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual_Rainfall,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
Year,1,-0.03204922,0.111022666,-0.012971253,-0.058189869,0.035843871,-0.012771772,-0.095693815,-0.14413003,0.017573053,0.02268425,-0.012047114,-0.165558997,-0.12136544,0.072954734,-0.009925133,-0.094950555,-0.044430326
JAN,-0.03204922,1,-0.004434666,0.004271752,0.038337289,0.130998094,-0.119361857,0.124373302,-0.049926451,0.027635588,0.130670273,-0.027385968,-0.17798094,0.120043938,0.563229935,0.108526237,0.001402009,0.04187366
FEB,0.111022666,-0.004434666,1,0.30601497,-0.136573819,-0.045214895,0.239194675,0.125088353,-0.004155981,0.201091651,0.063142539,-0.082301934,-0.010325291,0.243361955,0.823785587,0.078716257,0.217584647,0.008490416
MAR,-0.012971253,0.004271752,0.30601497,1,-0.071367398,-0.070092297,0.004444652,0.200476048,0.211669685,0.296375636,-0.209800359,-0.06180229,0.402688308,0.36704199,0.255179653,0.482455582,0.279473938,-0.085279373
APR,-0.058189869,0.038337289,-0.136573819,-0.071367398,1,0.165047374,0.134809711,0.002056995,0.175036625,-0.186325802,-0.003622394,0.066143078,0.207309309,0.190998599,-0.091644132,0.534818113,0.048755715,0.107733869
MAY,0.035843871,0.130998094,-0.045214895,-0.070092297,0.165047374,1,0.082049125,0.008931134,0.097455351,0.116308654,0.2914351,-0.040593329,-0.115623024,0.309792831,0.037761567,0.711962909,0.114370449,0.2056471
JUN,-0.012771772,-0.119361857,0.239194675,0.004444652,0.134809711,0.082049125,1,0.126956726,0.280698584,-0.023193687,0.202694752,-0.197714588,-0.104835032,0.444216659,0.129819122,0.120475687,0.528294681,0.03835394
JUL,-0.095693815,0.124373302,0.125088353,0.200476048,0.002056995,0.008931134,0.126956726,1,0.09787749,0.371105752,0.150127574,-0.072062278,0.138620325,0.615050069,0.174093529,0.119456123,0.662452954,0.147806898
AUG,-0.14413003,-0.049926451,-0.004155981,0.211669685,0.175036625,0.097455351,0.280698584,0.09787749,1,0.422898257,0.054872943,-0.150354817,0.02818357,0.614219333,-0.031742221,0.265861629,0.682043515,-0.024172594
SEP,0.017573053,0.027635588,0.201091651,0.296375636,-0.186325802,0.116308654,-0.023193687,0.371105752,0.422898257,1,0.218838282,-0.250599955,-0.037123771,0.648169157,0.181791691,0.1587919,0.683679834,0.048434465
OCT,0.02268425,0.130670273,0.063142539,-0.209800359,-0.003622394,0.2914351,0.202694752,0.150127574,0.054872943,0.218838282,1,-0.232358086,-0.158195937,0.372961473,0.126480046,0.076642443,0.243519948,0.738353968
NOV,-0.012047114,-0.027385968,-0.082301934,-0.06180229,0.066143078,-0.040593329,-0.197714588,-0.072062278,-0.150354817,-0.250599955,-0.232358086,1,0.110239049,-0.098237013,-0.083686198,-0.031924135,-0.255024103,0.388262115
DEC,-0.165558997,-0.17798094,-0.010325291,0.402688308,0.207309309,-0.115623024,-0.104835032,0.138620325,0.02818357,-0.037123771,-0.158195937,0.110239049,1,0.152799203,-0.109249952,0.244464016,0.018768382,0.272715079
Annual_Rainfall,-0.12136544,0.120043938,0.243361955,0.36704199,0.190998599,0.309792831,0.444216659,0.615050069,0.614219333,0.648169157,0.372961473,-0.098237013,0.152799203,1,0.26921638,0.503999675,0.908864792,0.344377351
Jan-Feb,0.072954734,0.563229935,0.823785587,0.255179653,-0.091644132,0.037761567,0.129819122,0.174093529,-0.031742221,0.181791691,0.126480046,-0.083686198,-0.109249952,0.26921638,1,0.126844829,0.180608687,0.030939801
Mar-May,-0.009925133,0.108526237,0.078716257,0.482455582,0.534818113,0.711962909,0.120475687,0.119456123,0.265861629,0.1587919,0.076642443,-0.031924135,0.244464016,0.503999675,0.126844829,1,0.256845743,0.140153556
Jun-Sep,-0.094950555,0.001402009,0.217584647,0.279473938,0.048755715,0.114370449,0.528294681,0.662452954,0.682043515,0.683679834,0.243519948,-0.255024103,0.018768382,0.908864792,0.180608687,0.256845743,1,0.08823806
Oct-Dec,-0.044430326,0.04187366,0.008490416,-0.085279373,0.107733869,0.2056471,0.03835394,0.147806898,-0.024172594,0.048434465,0.738353968,0.388262115,0.272715079,0.344377351,0.030939801,0.140153556,0.08823806,1
